Level	Reference	Former Reference (Dept)	Former Reference (PRO)	Title	Description	Covering Dates	Physical Description	Note	Separated Material	Related Material	Closure Status	Closure Type	Closure Code	Record Opening Date	ID
       							 								
>>>    	DT 12			General Nursing Council for England and Wales: Registration: Computerised Register and Roll	Prints on papers and films on fiche of the General Nursing Council's register and rolls, and lists of the different categories of nurses. ¶ The main document in this series is a laser print from the computer tape containing the names of those nurses still on the register and roll in 1983, from the opening of the register on 30 September 1921 to the dissolution of the GNC at close of business on 30 June 1983. It does not include the list of nurses and it does not contain the names of nurses: ¶ known to be dead * removed by order of the Disciplinary Committee, who might be restored later * who failed to pay the consolidated retention fee, who might be re-included later * who were enrolled by virtue of having passed the final practical examination for registration (enrolment by direct entry), or who were later registered and had allowed their enrolment to lapse. This occurred from 1969 onwards. ¶ Also included in this series are three sets of microfiche (DT12/24-26) produced by the batch maintenance computer system. Under this system, up-dating of records was managed by sending a batch of information on changes and additions to the computer bureau and receiving in return, nine times a year, an up-dated microfiche. The microfiche in this series are the last silver halide masters to be produced (DT12/25-26) and the earliest surviving diazo print (DT12/24). They contain information, such as full name and training school, not found in the print-out.	1973-1983	28 microform and volumes					Normal Closure before FOI Act: 	30		C6418
>>>>   				Final Index Laser Print			 								C22642
>>>>>> 	DT 12/1	1			Register of general nurses: A' Barrow A N to Blanchfield J D A, with Chairman's introduction and explanatory notes	1983 June 30	 	Open without restriction			Open Document, Open Description	Open Immediately			C291573
>>>>>> 	DT 12/2	2			Register of general nurses: Blanchfield K to Cheung T L	1983 June 30	 	Open without restriction			Open Document, Open Description	Open Immediately			C291574
>>>>>> 	DT 12/3	3			Register of general nurses: Cheung T M C to Dell A G J	1983 June 30	 	Open without restriction			Open Document, Open Description	Open Immediately			C291575
>>>>>> 	DT 12/4	4			Register of general nurses: Dell B H to Fitzgerald E	1983 June 30	 	Open without restriction			Open Document, Open Description	Open Immediately			C291576
>>>>>> 	DT 12/5	5			Register of general nurses: Fitzgerald E to Han W C	1983 June 30	 	Open without restriction			Open Document, Open Description	Open Immediately			C291577
>>>>>> 	DT 12/6	6			Register of general nurses: Han Y L to Isherwood J	1983 June 30	 	Open without restriction			Open Document, Open Description	Open Immediately			C291578
>>>>>> 	DT 12/7	7			Register of general nurses: Isherwood J to Lee A E	1983 June 30	 	Open without restriction			Open Document, Open Description	Open Immediately			C291579
>>>>>> 	DT 12/8	8			Register of general nurses: Lee A E to McKenzie E M	1983 June 30	 	Open without restriction			Open Document, Open Description	Open Immediately			C291580
>>>>>> 	DT 12/9	9			Register of general nurses: McKenzie F to O'Mahony K C	1983 June 30	 	Open without restriction			Open Document, Open Description	Open Immediately			C291581
>>>>>> 	DT 12/10	10			Register of general nurses: O'Mahony K M to Reed C	1983 June 30	 	Open without restriction			Open Document, Open Description	Open Immediately			C291582
>>>>>> 	DT 12/11	11			Register of general nurses: Reed C A to Slee M	1983 June 30	 	Open without restriction			Open Document, Open Description	Open Immediately			C291583
>>>>>> 	DT 12/12	12			Register of general nurses: Slee M E to Toy E M	1983 June 30	 	Open without restriction			Open Document, Open Description	Open Immediately			C291584
>>>>>> 	DT 12/13	13			Register of general nurses: Toy M to Zzizinga A, last two entries defective	1983 June 30	 	Open without restriction			Open Document, Open Description	Open Immediately			C291585
>>>>>> 	DT 12/14	14			Roll of nurses for the mentally ill: Aarons J P to Zurriaga Blay A	1983 June 30	 	Open without restriction			Open Document, Open Description	Open Immediately			C291586
>>>>>> 	DT 12/15	15			Roll of general nurses: A' Barrow D C J to Crowe C S, first entry defective	1983 June 30	 	Open without restriction			Open Document, Open Description	Open Immediately			C291587
>>>>>> 	DT 12/16	16			Roll of general nurses: Crowe E to Hill C	1983 June 30	 	Open without restriction			Open Document, Open Description	Open Immediately			C291588
>>>>>> 	DT 12/17	17			Roll of general nurses: Hill C to Millward L A	1983 June 30	 	Open without restriction			Open Document, Open Description	Open Immediately			C291589
>>>>>> 	DT 12/18	18			Roll of general nurses: Millward L M to Simpson L A	1983 June 30	 	Open without restriction			Open Document, Open Description	Open Immediately			C291590
>>>>>> 	DT 12/19	19			Roll of general nurses: Simpson L C to Zyzniewski D M, last three entries defective	1983 June 30	 	Open without restriction			Open Document, Open Description	Open Immediately			C291591
>>>>>> 	DT 12/20	20			Register of nurses for the mentally ill: Aarik L to Kowlessur N	1983 June 30	 	Open without restriction			Open Document, Open Description	Open Immediately			C291592
>>>>>> 	DT 12/21	21			Register of nurses for the mentally ill: Koyas A to Zvirgezoins L E L, last entry defective	1983 June 30	 	Open without restriction			Open Document, Open Description	Open Immediately			C291593
>>>>>> 	DT 12/22	22			Register of nurses for the mentally subnormal: Aaron S A to Zvjagins K, last entry defective. Roll of nurses for the mentally subnormal; Abad-Altares P to Zvirgzdins K	1983 June 30	 	Open without restriction			Open Document, Open Description	Open Immediately			C291594
>>>>>> 	DT 12/23				Register of sick children's nurses: A' Court P A to Zweifel E, last entry defective. Register of fever nurses; Aalten F I to Ziemkendorf E G	1983 June 30	 	Open without restriction			Open Document, Open Description	Open Immediately			C291595
>>>>   				Final Index: Fiche			 								C22643
>>>>>> 	DT 12/24				Combined Register and Roll, A' Barrow A N to Zzizinga A: run 48, fiche 1-117	[1977]	 				Open Document, Open Description	Open Immediately			C291596
>>>>>> 	DT 12/25				Combined Register and Roll, A' Barrow A N to Zzizinga A: run 94, fiches 1-214	1982 Sept 28	 				Open Document, Open Description	Open Immediately			C291597
>>>>>> 	DT 12/26				Index of Student Nurses, A' Barrow D C to Zyborska Z J, fiches 1-45. Index of Pupil Nurses, A'Oridge V P to Zulch H A, fiches 46-66	1982 Sept 28	 				Open Document, Open Description	Open Immediately			C291598
>>>>   				List of Deceased Nurses			 								C22644
