Level	Reference	Former Reference (Dept)	Former Reference (PRO)	Title	Description	Covering Dates	Physical Description	Note	Separated Material	Related Material	Closure Status	Closure Type	Closure Code	Record Opening Date	ID
       							 								
>>>    	WO 222			War Office: Medical Historians' Papers: First and Second World Wars	The series consists of files sent to the Medical Historian for information, of contributions prepared by senior medical staff, and of the Deputy Director of Medical Services; quarterly returns and reports made to the Medical Historian; and some files relating to Army nurses and the nursing establishment. The papers were collected for use in compiling the Army contribution to the UK Medical Series of the History of the Second World War. ¶ The files deal with both administrative and clinical matters and give an account of the activities of individual medical units in all theatres of operations.	1914-1949	2153 file(s)			For related registers and papers concerning Second World War allied prisoners of war hospitals in Thailand and Burma see WO 347		Normal Closure before FOI Act: 	30		C14428
>>>>   				'Z' FILES			 								C56618
>>>>>> 	WO 222/1	Z245			Hospital accommodation on mobilization	1914-1918	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C2695146
>>>>>> 	WO 222/2	Z1			Vital medical statistics regular Army	1933-1938	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C2695147
>>>>>> 	WO 222/3	Z38			Italian medical services in Middle East	1937	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C2695148
>>>>>> 	WO 222/4	Z37			Recruitment of medical practitioners for the services	1938-1939	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C2695149
>>>>>> 	WO 222/5	Z42			Military Hospital Haifa, annual report	1939	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C2695150
>>>>>> 	WO 222/6	Z116			A.M.D.8 Summary of policy and action	1939-1942	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C2695151
>>>>>> 	WO 222/7	Z131			A.M.D.9 Summary of policy and action	1939-1942	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C2695152
>>>>>> 	WO 222/8	Z132			Notes on administration of Army psychiatry	1939-1943	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C2695153
